#Stuff;;;;;;;;;;;;;;x
pamiri;Pamiri;;;;;;;;;;;;;x
kashmiri;Kashmiri;;;;;;;;;;;;;x
burusho;Burusho;;;;;;;;;;;;;x
VIET_mines_of_sar_i_sang;Lapis Lazuli Mines of Sar-i Sang;;;;;;;;;;;;;x
VIET_mines_of_sar_i_sang_desc;This region is home to the famed mines of Sar-i Sang, which has for centuries produced the overwhelming majority of the world's lapis luzuli, which is a beautiful blue stone that has been highly valued by cultures across the world since ancient times.;;;;;;;;;;;;;x
VIET_pamir_invest_lapis_lazuli_mines;Investments in Lapis Lazuli Mines;;;;;;;;;;;;;x
VIET_pamir_invest_lapis_lazuli_mines_desc;The local rulers of this region have recently made some investments in improving the infrastructure of the mines of Sar-i Sang, which produce the vast majority of the world's prized lapis lazuli. This should boost the economy of the region greatly.;;;;;;;;;;;;;x
VIET_wakhan_watchposts_maintained;Watchposts of Wakhan Being Maintained;;;;;;;;;;;;;x
VIET_wakhan_watchposts_maintained_desc;The network of watchposts along the Wakhan Corridor, which have been in use by various powers, including local rulers and the Tibetan and Chinese Empires, are currently being maintained. They stand guard over several key passes and routes along the Silk Road to ensure the region's security and prosperity.;;;;;;;;;;;;;x
VIET_wakhan_watchposts_ruined;Watchposts of Wakhan in Ruins;;;;;;;;;;;;;x
VIET_wakhan_watchposts_ruined_desc;The network watchposts along the Wakhan Corridor are not being maintained currently, and either lie in ruin or are underutilized by the military of the current regime. They once stood guard over several key passes and routes along the Silk Road.;;;;;;;;;;;;;x
VIET_karakoram_watchposts_maintained;Watchposts of the Karakoram Mountains Being Maintained;;;;;;;;;;;;;x
VIET_karakoram_watchposts_maintained_desc;The network of watchposts along the Karakoram Mountains, which have been in use by various powers, including local rulers and the Tibetan and Chinese Empires, are currently being maintained. They stand guard over several key passes and routes along the Silk Road to ensure the region's security and prosperity.;;;;;;;;;;;;;x
VIET_karakoram_watchposts_ruined;Watchposts of Karakoram in Ruins;;;;;;;;;;;;;x
VIET_karakoram_watchposts_ruined_desc;The network watchposts along the Karakoram Mountains are not being maintained currently, and either lie in ruin or are underutilized by the military of the current regime. They once stood guard over several key passes and routes along the Silk Road.;;;;;;;;;;;;;x
invest_in_lapis_lazuli_mines;Invest in Lapis Lazuli Mines;;;;;;;;;;;;;x
invest_in_lapis_lazuli_mines_desc;We could invest in the famed Lapis Lazuli mines of Sar-i Sang, located in Badakhshan, to improve the local economy.;;;;;;;;;;;;;x
restore_watchposts_of_wakhan;Repair the Watchposts of the Wakhan Corridor;;;;;;;;;;;;;x
restore_watchposts_of_wakhan_desc;We should repair the network of watchposts in the Wakhan Corridor to protect the Silk Road trade routes passing through its valleys and passes, and improve the local defenses.;;;;;;;;;;;;;x
restore_watchposts_of_karakoram;Repair the Watchposts of the Karakoram Mountains;;;;;;;;;;;;;x
