#Peloponnesian Immersion Pack Stuff;;;;;;;;;;;;;;x
tsakonian;Tsakonian;;;;;;;;;;;;;x
VIET_peloponnesian_tyrian_purple;Peloponnesian Purple Dye;;;;;;;;;;;;;x
VIET_peloponnesian_tyrian_purple_desc;The sea-snail that produces the famed and rare Tyrian purple dye can be found in the coasts of this region. The demand for Tyrian purple is always high, which helps support the local economy.;;;;;;;;;;;;;x
VIET_peloponnesian_kalamata_olives;Kalamata Olives;;;;;;;;;;;;;x
VIET_peloponnesian_kalamata_olives_desc;The world-famous Kalamata olives hail from this region.;;;;;;;;;;;;;x
VIET_peloponnesian_corinthian_silk;Corinthian Silk;;;;;;;;;;;;;x
VIET_peloponnesian_corinthian_silk_desc;The city of Corinth is the site of a flourishing silk industry, one of the few outside China.;;;;;;;;;;;;;x
VIET_melingoi_soldier;Melingoi Soldier;;;;;;;;;;;;;x
VIET_melingoi_soldier_desc;This warrior comes from the Melingoi tribe. Of the two Slavic tribes on the Peloponnese, the Melingoi are stronger and more prosperous compared to their Ezeritai cousins, and they thus have more official contacts with the Greeks.;;;;;;;;;;;;;x
VIET_ezeritai_soldier;Ezeritai Soldier;;;;;;;;;;;;;x
VIET_ezeritai_soldier_desc;This warrior comes from the Ezeritai tribe. Of the two Slavic tribes on the Peloponnese, the Ezeritai are weaker and more isolated, and are thus an even more rugged and hardy people.;;;;;;;;;;;;;x
monogatari.150.desc;xxxxx;;;;;;;;;;;x
monogatari.150.a;Xxxxxxffff;;;;;;;;;;;;;x
monogatari.151.desc;xxxxx;;;;;;;;;;;x
monogatari.151.a;Xxxxxxffff;;;;;;;;;;;;;x
monogatari.152.desc;Ever since the Slavic invasions of Greece many generations ago, a number of Slavs have lived in scattered villages across my Peloponnesian holdings. Divided into two tribes, the Melingoi and the Ezeritai, their martial skills are useful to those willing to make use of them. We have the opportunity to recruit a renowned fighter from one of these tribes to fight for us.;;;;;;;;;;;x
monogatari.152.a;Recruit a Melingoi soldier;;;;;;;;;;;;;x
monogatari.152.b;Recruit an Ezeritai soldier;;;;;;;;;;;;;x
monogatari.152.c;I have no need for these Slavs;;;;;;;;;;;;;x
VIET_peloponnesian_melingoi_spawn_tooltip;A Melingoi soldier, trained in the arts of war, joins your court. He may have a family accompanying him.;;;;;;;;;;;x
VIET_peloponnesian_ezeritai_spawn_tooltip;An Ezeritai soldier, trained in the arts of war, joins your court. He may have a family accompanying him.;;;;;;;;;;;x
#monogatari.153.title;Rebirth of Sparta;;;;;;;;;;;x
#monogatari.153.desc;The Spartans are a people of legend. The great rival to Athens and the home of famous warriors like Leonidas, the Kingdom of Sparta was once powerful and mighty. But hubris became its undoing, and it was successfully conquered - first by its former Greek vassals and enemies, then by the Romans.\n\nWith the restoration of ancient Hellenic and Roman values across the Mediterranean, [From.GetTitledName] has re-established the Kingdom of Sparta, and wishes to continue its ancient legacy. Whether the Spartan warriors shall be feared once more has yet to be seen, however.;;;;;;;;;;;x
#monogatari.153.a;Only time will tell.;;;;;;;;;;;;;x
monogatari.154.desc;Many inhabitants of the rugged regions of the Peloponnese are the descendants of the ancient Dorians, including the famed Spartans. Even to this day, they are renowned for their ferocity in battle, and prove useful to those who can win their loyalty. Today, we have an opportunity to recruit a renowned fighter from one of these tribes to fight for us.;;;;;;;;;;;x
monogatari.154.a;Recruit a Tsakonian marine;;;;;;;;;;;;;x
monogatari.154.b;Recruit a Maniot warrior;;;;;;;;;;;;;x
monogatari.154.c;I have no need for their services right now;;;;;;;;;;;;;x
VIET_peloponnesian_tsakonian_spawn_tooltip;A Tsakonian, and a former marine in one of the Greek navies, joins your court. He may have a family accompanying him.;;;;;;;;;;;x
VIET_peloponnesian_maniot_spawn_tooltip;A Maniot, a ruthless warrior from an isolated, rugged village, joins your court. He may have a family accompanying him.;;;;;;;;;;;x
monogatari.155.title;Peirene;;;;;;;;;;;x
monogatari.155.desc;The waterworks of Corinth were famous in ancient times as a site of pagan pilgrimage, but they have fallen into ruin over the centuries. The fountain of Peirene, in particular, was the most important of these waterworks. It was supposedly the favored watering hole of the divine stallion Pegasus, and was sacred to the muses - poets would often visit the fountain to drink its blessed waters in the hope they would receive inspiration. After some initial hurdles, I have set aside some funds for the restoration of the fountain.;;;;;;;;;;;x
monogatari.155.a;Its holy waters flow, once again.;;;;;;;;;;;;;x
monogatari.156.desc;We are ready to levy some of the local Slavic tribesmen. Should we focus on levying the Melingoi or the Ezeritai? If we have the resources, we might want to levy both. The wealthier Melingoi are better armed and disciplined, while the rugged Ezeritai are better at guerrilla tactics.;;;;;;;;;;;x
monogatari.156.a;Melingoi;;;;;;;;;;;;;x
monogatari.156.b;Ezeritai;;;;;;;;;;;;;x
monogatari.156.c;Both;;;;;;;;;;;;;x
monogatari.157.desc;xxxxx;;;;;;;;;;;x
monogatari.157.a;Xxxxxxffff;;;;;;;;;;;;;x
monogatari.158.desc;xxxxx;;;;;;;;;;;x
monogatari.158.a;Xxxxxxffff;;;;;;;;;;;;;x
monogatari.159.desc;xxxxx;;;;;;;;;;;x
monogatari.159.a;Xxxxxxffff;;;;;;;;;;;;;x
monogatari.160.desc;Every year, the Hellenes of Laconia hold the Hyacinthia festival. Dating back to antiquity, this festival was one of the Spartans' most important celebrations, lasting several days. This time, I've decided to officially attend the one of the celebrations myself, and made some financial contributions to the festival this year.;;;;;;;;;;;x
monogatari.160.a;And now we wait.;;;;;;;;;;;;;x
monogatari.161.desc;The first day of the Hyacinthia festival is here. I and my entourage have arrived at the festival grounds, ready to witness the entire week's worth of activities.;;;;;;;;;;;x
monogatari.161.a;Let's begin!;;;;;;;;;;;;;x
monogatari.162.title;The First Day;;;;;;;;;;;x
